date,ts,team_a,team_b,target,elo_diff,form_diff,h2h_diff,rounddiff_diff,event
2025-02-14,1739520000,MOUZ,BIG,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-14,1739523000,3DMAX,Virtus.pro,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-14,1739528400,FaZe Clan,SAW,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-14,1739535000,Team Falcons,FlyQuest,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-14,1739535300,The MongolZ,Complexity,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-14,1739542500,PaiN Gaming,Astralis,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-14,1739542800,MIBR,Wildcard,0,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-14,1739551800,Eternal Fire,Imperial Female,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-15,1739606400,MOUZ,3DMAX,1,0.0,0.0,0.0,1.0,PGL/2025/Cluj-Napoca
2025-02-15,1739606400,BIG,FlyQuest,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-15,1739614800,The MongolZ,Wildcard,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-15,1739616300,Complexity,Virtus.pro,0,0.0,0.0,0.0,-1.0,PGL/2025/Cluj-Napoca
2025-02-15,1739625000,FaZe Clan,Eternal Fire,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-15,1739625300,MIBR,Imperial Female,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-15,1739631600,SAW,Astralis,0,0.0,0.0,0.0,-1.0,PGL/2025/Cluj-Napoca
2025-02-15,1739636100,Team Falcons,PaiN Gaming,0,0.0,0.0,0.0,1.0,PGL/2025/Cluj-Napoca
2025-02-16,1739692800,Eternal Fire,BIG,1,0.0,0.0,0.0,1.0,PGL/2025/Cluj-Napoca
2025-02-16,1739692800,3DMAX,MIBR,1,0.0,0.0,0.0,-0.5,PGL/2025/Cluj-Napoca
2025-02-16,1739700600,Wildcard,Virtus.pro,0,0.0,0.0,0.0,-0.5,PGL/2025/Cluj-Napoca
2025-02-16,1739700900,Team Falcons,Astralis,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-16,1739709000,Complexity,Imperial Female,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-16,1739712300,MOUZ,FaZe Clan,0,0.0,0.0,0.0,0.5,PGL/2025/Cluj-Napoca
2025-02-16,1739715000,SAW,FlyQuest,1,0.0,0.0,0.0,-0.5,PGL/2025/Cluj-Napoca
2025-02-16,1739720100,PaiN Gaming,The MongolZ,0,0.0,0.0,0.0,-1.0,PGL/2025/Cluj-Napoca
2025-02-17,1739790000,MOUZ,Team Falcons,0,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-02-17,1739790000,Wildcard,BIG,0,0.0,0.0,0.0,0.333,PGL/2025/Cluj-Napoca
2025-02-17,1739800800,Astralis,MIBR,1,0.0,0.0,0.0,0.667,PGL/2025/Cluj-Napoca
2025-02-17,1739801700,3DMAX,Eternal Fire,0,0.0,0.0,0.0,-0.667,PGL/2025/Cluj-Napoca
2025-02-17,1739813700,PaiN Gaming,Virtus.pro,1,0.0,0.0,0.0,-0.667,PGL/2025/Cluj-Napoca
2025-02-17,1739817000,Complexity,SAW,0,0.0,0.0,0.0,0.333,PGL/2025/Cluj-Napoca
2025-02-18,1739865600,Astralis,BIG,1,0.0,0.0,0.0,0.75,PGL/2025/Cluj-Napoca
2025-02-18,1739873700,3DMAX,SAW,0,0.0,0.0,0.0,0.25,PGL/2025/Cluj-Napoca
2025-02-18,1739883300,MOUZ,Virtus.pro,1,0.0,0.0,0.0,0.0,PGL/2025/Cluj-Napoca
2025-04-06,1743922800,The MongolZ,3DMAX,0,64.0,0.6,0.0,2.067,PGL/2025/Bucharest
2025-04-06,1743922800,Virtus.pro,Rare Atom,0,-16.0,-0.1,0.0,0.0,PGL/2025/Bucharest
2025-04-06,1743929700,G2 Esports,GamerLegion,1,0.0,0.0,0.0,0.0,PGL/2025/Bucharest
2025-04-06,1743934200,Team Falcons,Complexity,0,64.0,0.5,0.0,1.75,PGL/2025/Bucharest
2025-04-06,1743938700,Aurora Gaming,PaiN Gaming,1,-32.0,-0.25,0.0,-0.75,PGL/2025/Bucharest
